ugIfwr	.eveawvcaia  caeDwa itIr cSwrwv cSwDnwgEr cnegiawtcaWk wyifed  ifUs im .caepctUswDuk wlwhwk ignwLuf cnwfikih	n	
ufwr	.ctwkcawswm  Wrukwmwtwruf iawgumuvcauail caeCcaea wtwvun caemwk	n	
Ipokufwr	.Ipokiled	n	
Ufwr	.cnudcaebWdcawb cnegiawlidor  egcaetwvWbea cnwtcnwtwncnuh iawfidIvcnumWrEf	n	
cnurukUfwr	.cnudcaeb cnegiawlidor egcaetwvWbea  iawgnWtcnwt wncnuh iafwidIv cnumWrEf	m	
wdwr	.udner wncnuh cSwtogugnor iawguhwgcswg  (2) .urUk ELea iawgumwh egiawg cnegitcaEk  cnukwCcaeaunUt wtwvun cnukwTcSwk (1) (.s)	n	
wLwvwdwr	.Wruawnwr (.s)	n	
idwr	.iLwmWhwj  iawguruteh cSwmuvuLea iawguluf egIDnwdcSod	n	
ufIdwr	.ufIdwreg "v" ufIdwreg "h" :ulWsim  .caeawbegcaemuail WviawfId ubIturwt egukwturukwa	n	
wlevudwr	.Wruawnwr	n	
wtwr	.iawfwtwr (ukilwm)	n	
iDwbwtwr	.eveaenWncnuh caekwl egiawlukctwrcnod iawguSoduDub  egiawyifedIrit .eveawgiawlukctwruLwk InWncnuh  uDnwgiSwh egIm .caetwvWb egInUdcnod	n	
caOLwkwtwr	.eveawluk  UdnIr InWncnuh iawgubnut iaWawhwrua iaWtwfcnwk  iaWtwf Ugin egIm :caetwvWb eguSoauLwk (.m)	n	
WDnWtwr	.cnwt wncnuh  iawgiawlukctwruLwk iawgulwnuk iaWycaEf (.g)	n	
cnwrutwr	.cnwr iruhcSokun uDwbuDwg	n	
caurutwr	.caur  wncnwg iheCcaea wncnuh iawgiawluk UdnIrctwr	n	
iDurutwr	.wkwnwmWactwr (.db)	n	
urErutwr	.eveawgiawlukctwr InWncnuh cawtctwf ItwmISwkwrub  .eveSokcswm iDnob cSokiteDob eruvcSwrEr  egiawdWa InWncnuh urErim .caetwvWb egurEr	n	
Olutwr	.caenwduAwmWdcSwkwywlukctwr	n	
Utwr	.iaua wncnuh iawfiawscawj wlukctwr cnwyivilEf  uria unuLua eyivilEf iawguhia (.s)	n	
etwr	.ctwr (.g)	n	
eLubnihetwr	.ihemunol (.g)	n	
Wniawbetwr	.cniawbctwr (.g)	n	
wmehcnibetwr	.wmihcnibctwr (.g)	n	
uLodeketwr	.uLodnwkctwr (.g)	n	
whwmetwr	.cswmctwr (.g)	n	
ctwr	.eveaerukcnunEb csevcSwkwrutia cnwn cswbim  .wluk wncnuh iawgulwmidebereb (3) .wluk wncnuh  iawgElufWs (2) .wluk wncnuh cSwyirit emcnea  cniaeret egukwtwluk egInud wrWscaiv (1)	n	
wnWfIlurub ctwr	.caeawnWf egiawlukctwr wncnuh  cSokwmih cSwLokutwhwf eruvcSwawnWf egiawdWa	n	
Whctwr	.WhuDnwk (2) .caetwvWb egiawnWf (1) (.h)	n	
inihctwr	.evekeNcnih  wncnuh iawgiawluk iSumctwr Iaim .eveaenWnWd  cSwrWb cSwrwv inihim .evekeNcnih uDob caeLokcnwt  eruvcSwNcnih iduk emcnea Iaim .caetwvWbegInih	n	
ilwDnohctwr	.evekemea  wncnuh cSokUdnIr cSokwDuk ,wlwf eruvcSwycawDnoh  egiawdWa Iaim .caetwvWb egIlwDnoh	n	
UdnIrctwr	.eveawlukUdnIr  InWvwdwgcnwkuLWf uriaWlwb cSwDob cniawlukim  .caeawluk egudemed iaWawlukUdnIr iaWawlukctwr	n	
cswmUdnIrctwr	.eveawgcaeawluk UdnIr Inwncnuh  cawtirwtok .eveaeruh ugnor 12 wtwvun ugnor 10  egiawlukUdnIr cSwgid iawgItwmirwaed eguhwm .eveawluk  iSotWyif wdwg wtwvun wlukctwr Ikwawluk egItwmirwaed  iaWCcawm iSwkwrub eguhwm .eveawlukctwr Ikwawluk eguhwm  .caehwmctogcaea Whwm UdnIr cnwTcawb umcaWa	n	
Wmurctwr	.evenuLua cSokcnunEb  cnwscawa iawgurwk uriaWhwjwrWt iaWSwmunwb  Wsckob Wmurim .evekelWmur wBcaWK unuLua iawLwa  iawgulob cnunehcnwa iawguhia Iaim .WmurcTWkWyilwf  wncnuh ,iawgiawlukctwr unuLugcneg iawgIruk	n	
WDnwluDnwbctwr	.evekeawlukctwruDwm Inwncnuh iawgItwmiSwkwrub  .evekeawDnwl wncnuh iawgiawluk ctwr cSwduDnwb  ELua iawgIriawkiSot Iaim :caetwvWbegWDnwl	n	
csorwbctwr	.eveaeruh iawfWhwjcawl egiawlukctwr  iawgumwh iawgIlwbim .caetwvWb egIlwbcsorwb	n	
urubwbctwr	.urubel urukWhir (.h)	n	
irWvuz urubwbctwr	.ctwvWbctwr egIrWvuz	n	
Wlekurubwbctwr	.eveawgcaeawluk ctWg  Wnudnwhwnwk InWncnuhim .caetwvWb egWlek	n	
cniawbctwr	.caemuheruk WLwa iawgulwnuk	n	
WCIgwbctwr	.eveawg caeawluk ctwruLwk InWncnuh csev  Wm eguhwgim .eveaeruhiawfiawlev utWfwt wluk cSwtog  caekwtcawliteDob iawgutwf .eveawgcaeawlukctwr uLwk  InWncnuh cawtctwf egIm .caetwvWb eguhwgWCIgwb	n	
ikerubctwr	.evekemea egiawlukctwr uLwk wncnuh cSokwDukOb  cSokugid ctwfUgwn Iaim .caetwvWb egIkwrub	n	
csEbctwr	.eveawLugnua iawkwTcSwmukcaihurWf iawgnWtcnwtESem  iaWawgnwtcnwtEDnek csEbim .evencnegiawrig  iawgcaedofcnef InwrukcnunEbcsEbim .eveawgiawlukctwr  InWncnuhcsEbim .evetwvWbeguhEb	n	
ilobctwr	.ilobisWnwlwa (.m)	n	
Obctwr	.eveaeLua cSokcnunEb csevcSwmea Wkihim  .uriaWruk cnwkirevcswmudwv .eveawgiawluk UdnIr  Inwncnuh iriawk egulol .eveawluk iSotWyifuDwm  Ikwawluk eguhwm .eveaeruh ugnored egiawluk  ctwruLwk iawgutWrwfed eguhwm cSwawmwh Wlugwn cnegiSef  cnulob egiawkihim caetwvWb egWkih (.s)	n	
iSwkctwr	.eveawgcaeawlukuduh Wviawfevukea  Wkwywlukctwr InwncnuhctWrwfcSwduDnwb .eveawlukctwr  Ikwawluk eguhwm .eveaenWvwdwgurwv ubnuLuh  iawfevuDobOl eguhwmim ,caetwvWb eguhwmurwf (.s)	n	
WmiSwkctwr	.eveaenWncnuhun  caehwv urIm wlwhwk wncnuh iawgulwmiSwk egiawdWa  iawgulwm egutwvWbim .caetwvWb egulwmiSwk	n	
uLodnwkctwr	.evelwmcnited  wDukwDuk cSwrwv ,Ilwyifcnit egiawlukuduh  Inwncnuh iawgEretegIm .eveawgEret caeairUt  urwtcawv Wycawdnir InWncnuh Wm .evencnuDub  egcaetwf emcnok InWncnukin Wm .eveSokwdwgurwv  cnumwvinIf Inwdcnumedeh .evekehwg wncnuh  iawgiawlukubnwdctwr cSufcSwd iawgiawlukihefwdwg  cSufItwm egukwtctwf Iaim .eveaenWvugidwmih  iawfevObirwv cawtctwf egIm .caetwvWb eguLodnwk	n	
ikiDnwkctwr	.ikiDnwk egiawlukctwr	n	
inwkctwr	.iLobog eguhib (.d)	n	
csWbil ilWdcnwkctwr	.evekehWbiliaua  Iaim caerwtcawv eguhWbil uLwvObubwswk	n	
iSELwkctwr	.cSoauLwk egiawlukctwrwdwg (.s)	n	
udwmiDwkctwr	.udwm wncnoa iawgiawlukcnwr  uDnwgcSoa WmIlcSokikwv iawbWk egudwmcnod (.d)	n	
wlwa urikctwr	.wlwaurikuLwk (2) .eveSokWLuf InWncnuhctwf  .eveawgiawlukubnwd InWncnuhuDnwt WkwturWn  egutwf eguhwg im caetwvWb egiawlwaedcaeruf (1)	n	
cswmireviawriLurikctwr	.eveawlukctwr  uDwm Inwncnuh iawguSwfilud egEretEdiSwked  egukwtiSwk egiawbirwtok egItwmiSwkirub eguhwmim  .eveaeruh caefwl egiawlukuduh wncnuhc cSwnwkcsenit  iawgItwmctwfcnwk .evekeawlukiLurik WdcSwkwawlukubnwd  Ikwawluk eguhwmim caetwvWb eguhwmireviawr	n	
wrukctwr	.evekeawrukWl Wgulol cnumuyid  cSwCcawm emcnea cnuvWnOr Iaim caeycawb egulol	n	
ipcaurukctwr	.ipcauruk egiawlukctwr	n	
uLukctwr	.uLuk egiawlukctwr Whwj ukeaWDnupcawh iawfiawfud	n	
wlukctwr	!Wlwb ctwr	n	
uaekctwr	.uaekctwritcnob (.s)	n	
oyekctwr	.oyekctwr itcnob (3) .oyek  IrWbWlwm (2) .oyekegiawlukubnwd ctwr (1)	n	
cnulcSokctwr	.cnulWvurwaiLur  :uzWjWm (2) .cnulcSokunUh cnedcnwlifOr  uLokWyif iawguletig wtwvun iawgulet (1)	m	
ilWkokctwr	.WkokEl (.m)	n	
cswmireviawrirwtokctwr	.eveawgiawlukctwruDwm  InWncnuh ctwfUgin .eveaeruh iawguhwm  caeawLwd egaiwlukctwr ukeaWawlukihirim .eveawlukihir  Ikwawluk eguhwmim .caetwvWb eguhwmireviawr	Sh	
iLotuDnwgunoactwr	.eveawgiawlukihir Inwncnuh ctWrwf  cSwduDnwb .eveawlukiSumctwr Ikwawluk egiawbItwm  eguhwmim .evekehwm wDukwgonwa wncnuh caeawvurwnugid  iawgudem egutwfUgin Iaim .caetwvWbegILot	n	
wnivctwr	.eveawgcaenwt Edivwa  InEdeh cSwawdwg evwdwgwluk eguhwgim .eveaiCcnia  6 cSwkwDwgctWg Ikwnimcsua eguhwgim .eveawfWvwlukea  cSwaiDnobiDnob iawlirukwnig cSwrwv InEdeh  .eveaenWvctwr csevcawtiDnwt .eveSokctwr uLwk  InWncnuhctwf egiawnivim .caetwvWbegiawniv	n	
Wlivctwr	.Wlivwncnef iawgiawlukwluk  cnuherwdua utWrwf ugnwLuh uriaEscaoauria	n	
wlukWlivctwr	.wlukubnwdctwr ilwa	n	
cnuscaoaWlivctwr	.cnuyid cnegiawlif cawtwluk wncnuh  iawguherwdua utWrwf ugnwLuh uriaEscaoauria	m	
wLwdWlivctwr	.urwvwlukWrwa cSwherwdua cnegevcnWlWlivctwr	n	
itwmwLwdWlivctwr	.udemed  Wmuscaoa Wlivctwr eruscaISef cnWlWlivctwr	n	
cnuhejwLwdWlivctwr	.cnuSef cnWncnef wLwd egWlivctwr	m	
irWdWlivctwr	.eveawgiawluk  Wlivctwr InWncnuhitof im .caemwnWyik cSwkwtwvWb  egItof unuLuaiawlcsWbil cnunehcnwa ihevid	n	
cnulWlivctwr	.cnureawlukwluk  cSwkwtWlivwncnuh iawguherwdua uriaEscaoauria	m	
unwTWsWlivctwr	.cnwn egcaeCcaof unuLuaiawDnwk  csWbil iawguhia cnunehcnwa ihevid	n	
cnuvctwr	.cnuawaiLur  cSwywdwg :uzWjwm (2) .cnuhejwlukctwr (1)	m	
ugWscawmctwr	.urwtcawvctwr egugWscawm	n	
cswmctwr	.eveauriaELua iawguDnwk Inwncnef  cSokuLWf cSwDob wgwhWfim .eveaeruhcawled egiawlukihir  aiwgItwmirwaed eguhwmim .evekehwm egiawlukctwr  wnigubnuLuh Iaim .caetwvWb eguhwmurwf	n	
Wmctwr	.Wmuruswactwr	n	
ihirimctwr	.eveawgiawlukctwr  Inwncnuh uDnwguDnwt egIm .caetwvWb egIhirim	n	
iSumctwr	.wluk  egulwyiDnwb Wywvwt egiawdWa (2) .iSum wncnuh  iawfiawdwh WyiDnwb Wywvwt egiawdWa (1)	n	
wgnwrumctwr	.eveawgiawlukctwr InWncnuh cawtuDnwt  eguwtwfegIm .caetwvWb egiawgnwrum (.m)	n	
wkwrumctwr	.evekeCcaea uDobugwa cSwrwv iawgEyinud  Iaim .eveawdwh Wnwhwg cniawkwrumim .evencnuDnwk  Inwgwn wkwrumim .evekea wkwrumEdeh cSokiteDob cSwrwv  Iaim caeawkwrum wncnuh iawgcaeawlukctwruDwm	n	
ugumctwr	.ugum urUswm (2) .ugum egiawlukcjcneroa (1)	n	
wlukwyifihemctwr	.wlukUdnIrctwr	n	
WTemctwr	.WTemuruscnwf	n	
Emctwr	.EmWpcauf egIfUsWfUsinUd	n	
wlwSwfctwr	.eveaenWvctwr  cSwrwv OliLum evuDob iaok egulol WmInuhejilwbim  .eveawfWscair cSwywdwg cSwrwv iawgudemegulob  wmwtwruf Inehejilwbim .caeycawbegulol	n	
ihiDnwfctwr	.evetwvWbctwr  egIhiDnwf Iaim .caetwvWb egukur ihevid	n	
ilwtifctwr	.eveSwDnwguDnwgihib wncnuhiawfiawgwncSokOb  cSokctwr Inwncnuhilwbim .caeycawb egumwh	n	
ilwaedcaerufctwr	.eveaeruh ctogWhwk  iawgiawlwawnig egIm .eveaenWncnuh caeawlukctwr  iawgEretea iaWrEb eguDnwgwlwa .eveawgcaeawlukctwr  InWncnuh cawturWn iaWDnwt egutwf eguhwgwlwaim  .caetwvWb Enemih iawgEret egiawlwaedcaeruf	n	
iDnwdOrufctwr	.inUdiDnwdOruf (.s)	n	
uDnorukUfctwr	.uDnorukufctwd (.a)	n	
ilEfctwr	.eveSokctwr  InWncnuh udemegIlEfim - ilEfulob egcnunehrif	n	
caurwbnwdctwr	.caurubnwdcswr (.s)	n	
ubnwdctwr	.wlukcTeliawv wdwg (2) .eveawmIvWkcawf  InWncnwa wlukubnwduLwk cSwaim (WvEmeguhwgubnwd)  ubnwd Wvun Wkcawf evcnod (1)	n	
caurubnwdctwr	.caurubnwdcswr (.h)	n	
irukiDnwdctwr	.iruk wncnuh cSokctwr egutelib	n	
WkokiDnwdctwr	.WkokEl	n	
WlifiDnwdctwr	.ugWsiDnwdctwr	n	
ugWsiDnwdctwr	.eveawkcawkwhir  iawgutwf eguhwgim caehwg egiawluk ctwrEdeh cSokiteDob  eruvcSwaea wncnuh ctwf cSwrwtcawv ugWscawm	n	
wLwdctwr	.wlukctwr wncnuh iawfiawrwa cSwherwdua .ah (4)  .Wlivctwr (.s) (3) .cnwkuLom Wkcawd cSwfWliK  WtwqIqwh :uzWjwm (2) .wLwd egawlukctwr (1)	n	
cnukcaedwLwdctwr	.cnukcaedwLwd (2) .cnukcaed  cnwkuLom cSwfWliK WtwgIqwh (1) :uzWjwm	n	
ivwawkwdctwr	.ivwawdwg  (2) .ivwaEd itencaehwruh csevcaea (1)	n	
itwdctwr	.WDnwlitwdctwr (.a)	n	
cswmitwdctwr	.eveawlukctwr wdwg InWncnuh iawguLokOb  iaWa irwtok eguhwmim .caetwvWb eguhwmurwf	n	
WDnwlitwdctwr	.evekeawDnwl  egiawlukctwr Iaim .eveSwtifctif cSokOb Inwncnuh  cawtubnuLuh egWDnwlim :caetwvWbegWDnwl (.m)	n	
inwvudctwr	.eveSwncnidukwL Inehej  cniawnig ilwb im .ctwvWbctwr egInwvud	n	
inWvEdctwr	.evencnumwkiawbihef  WviawgEretudem egutwf Inwvudinwfim .evekeCcaea  wncnuh iawgiawlukctwr iawgiawfis egInwvuh  Iaim .eveawguhwgcswg eg utwvWbedim ctwbiduk ibcnib  cnEretegukwt urwtcawv egumWvog InwLwa cniawnig  cSokwBcaWH im .evekeycawbWLwa iawguhwgcswgwL  egumWvog Iaim .caetwvWb egiawsukwfinwf	n	
cnodctwr	.wlukcnod Wvcnegivelukea Wywlukctwr	n	
Wlcawgwtctwr	.caeCcaof uLomegutWz irehek wdwgwluk	n	
csWlcawgwtctwr	.Wlcawgwtctwr	n	
wnWfikitctwr	.eveaeruh caegnorWruf egiawlukiSumctwr  iawgutwfUgin eguhwmim .eveSokcSwv InWncnuh  uLok egutwfUgin Wywbirwtok utWrwf cSwduDnwb  .eveawlukctwr Ikwawluk eguhwm .eveaeruh caekwtikit  egiawlukctwrwdwg iawguhwmim .caetwvWb egiawnWf	n	
iSotctwr	.wluk wncnuhiawfiawrwacSwrEb uriaWhif  cSwLomemcnea WlunWdcnwaurEb itekwtWkcnegehif	n	
cnurukiSotctwr	.cnuhif cSwrwvWrwa  wlukctwr cSwrEb iawlunWdcnwa itekwtWhif	m	
cnuviSotctwr	.cnuvctwrurEbWdcnWn itekwtWhif	m	
WDnwlctwr	.evekeawDnwl egiawlukcnoduDwm  wncnuh cSokctwrOl cSokiteDob ubnuLuh Iaim	n	
iDukwlctwr	.evekeaiDukwl  egiawlukctwruLwk Iaim .caetwvWbegIDukwl	n	
ufwlctwr	.eveaenWncnwa  El cSwrwv EverukunWnWm wmwnifiawlWTcaokcnwtim  .eveaenErutef cSwDob cnehIvivuDob .evwgiawfis  egcaekctobEl InWncnuh wmwtwrufim .uLokcnwtcnwtctwr  wncnuh iawgumwh egcnidukcaeawb uriaWvcnwfua	n	
ihejWlctwr	.eveSokctwbcsin WncnuhIm ,InwrukcnunEbcswbim  .urUhcxwm (2) .wncnwdcnemcnea (1) :uzWjwm	an	
Ililctwr	.evekeTUf cSwkwDnwgctWg  IkwnimuDob egutwf .eveSokuruk eruvcSwtwf eguhwgIlil  egiawdWa Inwncnuh ctwf eguhwgim .eveawgiawlukujcneroa  Inwncnuh wyif egulwmim .caetwvWb egIlil	n	
wyidurwgctwr	.wyidurwg wncnuh iawfcsiawawlukctwr cnegiawkcawkcswm  wnig wtwvun cnegiawkcawk uriawnig	n	
wnWfiLwgctwr	.eveNcnwkea  iawgiawbItwm eguhwm Inwncnuh cnwncnef cSokufWs  cawtiLwgim .eveaeruh caekwtiLwg egiawlukctwrwdwg  cSwhwruh iawgItwmirwaed .eveawlukcjcneroa Ikwawluk  eguhwmim .eveSokcSwv Inwncnuh uLok egutwfUgin  WLokuDnwgctwfcnwk eguhwmim .caetwvWb egiawnWf	n	
irWdcnudwlwgctwr	.caetwvWb egumWrEf WDnwk csWbil iLeauLwvOb	n	
Wgctwr	.eveaeruh uLwvOl  cnehwncnuh uLwvOl Eretukwvihuh iawgulwgim .caelwg  egiawlukctwruLwk EdehiawguLwf uLwfcaeawb egEjcaWr	n	
wdegctwr	.urwtcawv ctwr egiawdeg	n	
ivogctwr	.eveaenWdcneg cnumwkctwf cnegednia  iawgutWrwfcSwd egutwf .eveawlukctwr Ikwawluk  .eveaenWvurwh cSwrwvuDnwgiSot egIm .evekeCcaeaWLwa  iawgulev Wrwk cSokumcaWA Iaim .caeawsukwfinwf	n	
ugcnwsctwr	.eveawgcaeawlukctwr  InWncnuhim .caetwvWb egIrubneaUf	n	
ubcawsctwr	.caetwvWb wncnuh  caeawluk ctwruduh Enemih WgEret egubcaws	n	
uawpctwr	.evencnehim  "uawpcawr" Inwyikcswbim iawfwtwr (.g)	n	
ulOrubnwjctwr	!Wlwb  ulOrubnwj .ulOrubnwj wncnuh iawgiawlukctwr	n	
WDwjctwr	.evekeCcaea ELuacsiawa cSwmusUm inUdcnod  Iaim .eveaeruh caeawluk cnuhid iawgubWsih ELug  iaWDnwgiSwh cnuSwd egiawyif iawfevctwr uDnwgiSwh  ,iaWawyif egWDwjim .urwtcawv iteDob egWDwj	n	
iDWjibiDWjctwr	.cswmctwr :uzWjwm	n	
rwgwr	.Ibwgnwr	n	
IrWnikumwswr	.IrWnik iauSwf	n	
wdigwswr	.wrwbnwb (.s)	n	
udIswr	.cnuyil  Ediawfcnegiawlwb itekwt cnehinehea WaWsiawf	n	
WlUswr	.unWf  egElwkIbwn udwmcawhum ivcaelctWvwlwB iaWmWlws	n	
ulUswr	.WnWscnia ctWm Wviawfiawvwgcnwa  cSwmuvcaed iawvurOf cSwncnukwtcsIm caetwAIrwxea  iawvcawlWvWb caetwAIrwx cSwkwlwkEbea Q ctWm	n	
cnulUswr	.cnulwkEb ulUswr	n	
cnulwkEbulUswr	.cnulwkEb ivcaeliawvWb  caetof iaWkwtwaIrwx cnutwruFwh eg Q ctWm	n	
cnwkulUswr	.cnuvcaunof ivcaunof cnegiaWkwtwAIrwx  cnutwruFwh egnWlwkcswr ctWm	n	
cswr	.cnwnWyik WmInufih  cSwkea iawbcSoa uriaWl cnutwSufcsuh wtwvun  .WmIniduDnwlctwh cnegidividiv uriaELukcSoacswf  .n (5) .uLufirwdcswr Egwm :ulWsim .WvibOl  emcnea (4) .ugwmcswr :ulWsim .uDobemcnea (3)  .cniawacswr :ulWsim .uLom (2) .Wvctwbcsin  cSwmwkcswr wtwvun cSwnWfegcswr (1)	an	
urukwhcswr	.caerukwh igen cSwrWkurws  cnirevwdurWk cnutwa cnirevWr iawguhia	n	
udnwvuhcswr	.eveaeruh  caehwvurIm iawgIm .eveawgcaeawluk ctwruLwk Inwncnuhim  .eveSwhEb ulol InwrukcnunEbim iawgcaetogumcnWa  .caetwvWb WrukcnunEb cSwhEbihevid	n	
wnwrcswr	.WhImcnehcnwa ELuacnegevWtih	n	
inwrcswr	.cnunehcnwa itIr :uzWjwm (2) .ctogWyik cSokuruk  cSwncnulwbnwkinwr iaWncnulwkcswrcswr (1)	n	
unOrcswr	.unOr wmih emcnea wncnuh iawfiawSwv  cSokitIr (2) .caenOr Wgwn cSwncnugnwh  urwv iawguhia cnutwa cnuhIm Udubnir (1)	n	
ilobcswr	.caeycaob Wgwn iawguhia  cSwncnugnwh urwv cnutwa egcnuhIm Udubnir	n	
wdnwkcswr	& :ulWsim .wgwhWfiawbun (.s.N)	n	
ednwkcswr	!Wlwb wnWm wnwved eguhwbim egcswr (.g)	n	
cnwkcswr	.eveaInwruk cnwkcswr iawgEret irwTok  uLok cniduk uriaiawa cSwaeg cnerwhwa :ulWsim  .cnuLua ELua cSwkwtihctih caekwt cnIdukwDuk wtwvun  ukwjcauk uLokutugwv Wditen ukwhIm enWTcawhwlwb  (3) .cnuLua ELua cSwkwtih ctih cnegiawvurOf uzUfun  cSwnwtea ukwywb Ebit cned wtwvun ukwhIm wncnuh  cned cnumuten iawgcaenwtea ukwywb wtwvun ukwhIm  Wviawfibil urWb egcaenwt :uzWjwm (2) .cnwkirev  Wgcnih cnegiawvwncnuh ukwlwkcswr (1)	n	
cnurukcnwkcswr	.cnuLua cSwkwtihctih caekwtcnidukwDuk wtwvun ukwjcauk  uLokutugwvWd itenukwhIm enWTcawhwlwb (3) .cnuLua  cSwkwtihctih cnegiawvurOf uzUfun cSwnwtea ukwywb  Ebit cned wtwvun ukwhIm wncnuh cned cnumuten  iawgcaenwtea ukwywb wtwvun ukwhIm Wviawfibil  urWb egcaenwt (2) :uzWjwm .cnugcnih cnwkirev  Wgcnih cnegiawvwncnuh ukwlwkcswr (1)	m	
cnulwkuawkcswr	.cnulwkcswrcswr	n	
cnurukcsia cSwmwkcswr	.cnunidcnwkcswr	m	
cnuvcsiacSwmwkcswr	.cnuvurea cSwmwkcswr	m	
cnureacSwmwkcswr	.cnuvirev cSwCcawm egumwkcswr	m	
Wlwkcswr	.unWfegcswr	n	
egWlwkcswr	.Q	n	
cnulwkcswr	.ctogwnig eguhwbim "unWfegcswr"  (3) .cnulwkcswrcswr (2) .ctogWnub  cSwmuruk wnig cswbim "Wlwkcswr" (1)	n	
Olwkcswr	.Wlwkcswr	n	
cswmWkokcswr	.eveaeruh iawgItwmirwaed  caekwtugnor egiawluk UdnIr idwa .eveawgiawlukUnwdwg  Inwncnuh itwmirwaed .eveawgiawlukUdnIr  Inwncnuh ukeaWtwfUgin Wgiawbutwhwf eguhwm  iteDob .eveaeruh cSokuLWf caekwtugnor egiawlukuduh  WviawfiLug cSokcawv uLok iawguhwm idwa .eveawlukUn  Ikwawluk eguhwmwL .evetWfwt wluk eguhwm iteDob  iaWhwmwL egulWkokcswr .caetwvWb eguhwm Wkok	n	
ilokcswr	.ilokWl cSwmuruk  wmwhiruf ctwzcaia egumwkcswr cSwkwlwkcswr	n	
cniawacswr	.cniawacswm iteDob eguhwmuDnwk  Evelukea cswm eguziaws utWfwt iaWkwtctwvWb  utWfwt ELua cnegevwlit cSwkwairuk cawtea	n	
whcnwvcswr	.cSufitwmcswr	n	
cSufitwmcswr	.uLokirwdcswr	n	
cswmcswr	.eveLufcswm InWyik cSokumcnWA .cswm Wrukcnudev  (2) .cswmiDnwd Wdcneg cSwncnudwr (1)	n	
utWycaimcswr	.Wsclwj WvcaWb cnutogImcswr iawkwTcSwkwmwk	n	
Imcswr	.egurWkurws	an	
cnudeh Imcswr	.cnudeh  EhejcnwLwa uriawncnukun cSwtwkcawswm egurWkurws  (2) .cnudeh wBcaWK egutwluawd (1)	n	
udcnwb Imcswr	.wncnOn ctwkcawswm egurWkurws ,cSokumcaWa	n	
cawtcnwkImcswr	.cawtcnwk egutwzcaiA Wruk cnutWrwf egurWkurws	n	
cswvudImcswr	.cswvud wncnuh  iawfivuLuh cSokumcaWa cawtcsIfoa egurWkurws	n	
irwfcswr	.caeSwruLwf eguLotwa .k (2) .caeairwfWLwa  iawguDnwgcswf ELukwLug emukun ukwhImed cnehea wdwfea  wtwvun .cnulwkEb urudeaed cnISoked WTcaok iDnwd  WTcaok wnwDcawa uhwvud Wlilok cSwmwkcswr (1)	n	
cnugnih iawgIrwfcswr	.cnugnih cSwtogELea cnuheruk egIrwfcswr iawguDnWd  cnegiawfih iDnwd Wlwh wtwvun wnwDcawa iDnwk	m	
irubnea Ufcswr	.eveaenWncnuh  caemua wDukwDuk iawguluf egutWrwf ctwfcnut  .eveawluk iLurik ,Ikwawluk .eveaenWncnuh cnuacnua  iawgutWrwf iSwkwrub .eveSokwlwfuruk InWncnuh  irubneaUf egurwtcawvim .caetwvWb egIrubneaUf	n	
caurubnwdcswr	.caurubnwdctwr (.h)  (2) .caur ubnwd wncnuh caeawlukctWg iaWawlukcnwr  iawgItekwtwncnwg iawgukur iaWnwf (1)	n	
uLokirwdcswr	.whcnwvcswr	n	
inwvudcswr	.eveaenWv UdnIr cseviheCcaea  WdumwkwDuk .eveawfevUdnIr InWncnoa Wjcauk iLum  WmInuhej inwvudcswr .caeycawb Erutef cSwywgiLum	n	
ignOdcswr	.eveaevugwmua  enwgcsod .eveaedcnegirutef urwswa egIlwbea  csevcSwawmwh WDnwgcswmwlwf ,iaWhwmWvuLwkwDuk  uhwfcSwmugen uDnwgim .eveSwtog egcaeDnwg  Inwgwn ilwbim .caeycawb Wgwn iawgIgnOd	n	
wkOlcswr	.cnudwr WvcSwmwlWA (.db)	n	
wlcaugcswr	.eveawgiawluk  uduh ufWs InWncnuhim .evekeCcaea wncnuh  iawfiawlcSwNcnwf urukwh iawSwvwLug cSwkwziaws  cnunEb ,WmInukek cSwrwvESevwLug ,idnihcnef  ,csogcnumwkcawk iawgInig uDwm cnegiawLwa  Wletig Wrukwh cSwrik Or ,Iaim .caeCcaeaWkinof	n	
egcswr	.wgwhWfiawbun  (2) .unWfegcswr egunIduriawG (1)	n	
unWfegcswr	.Wyirevcsia emcnea egukwtumuawg wncnoa  cnwkcswr cSwkwmWzin IsWyis egcaemuawgea	n	
Uncserufegcswr	.urWb egumwkcswr	n	
cnulegcswr	.cnuLea ugnorim "egcswr"	m	
wDwr	.cawtcnwk wdwfEbil ctwmWlwm  cSwaWmit (4) .cawtcnwk Wruk cSwfWliK WmwkurihWt  WbIzuhwt (3) .ak .urWduDum (2) .iDwh (1)	n	
cnuvEhwDwr	.cnuruk cawtcnwk ufWliK WmwkurihWt  iaWbIzuhwt (2) .cnuruk urWduDumiDwh (1)	m	
iLugcnwbwDwr	.irwd ulWlwhwn	n	
cnwkwDwr	.cnwkWviLOm  uawm (.s) (3) .cnwkufWliK WmwkurihWt  WbIzuhwt (2) .cnwkurWduDum iDwh (1)	nan	
cnuvwDwr	.cnuviLOm uawm (.s) (3) .cnuvufWliK  WmwkurihWt WbIzuhwt (2) .cnuvurWduDumiDwh (1)	m	
ilWmwDwr	.WhImurihWtun ukihWlun	n	
WmwkuTwr	.ilwbETcaev (.g)	n	
cnuliawvuTwr	.cnulWlcawh  ukwhIm cnegcSokufIrWtugod (2) .cnulWdcawh (1)	m	
